Project_Number,Project_Title,Project_Description,OIA_AREA,Round,Approval_Date,Program,Lead_Research_Institution,City,Ontario_Commitment,Total_Project_Costs,Keyword,EXPENDITURE_TYPE,First_Name,Last_Name
RE01-076,Structural and Functional Annotation of the Human Genome for Disease Study,"Dr. Robert Hegele, at the Robarts Research Institute will undertake an innovative project, which aims to bridge new biological knowledge about genomic variation with medical applications.  The project will deliver a “new improved edition” of the human genome map, which Dr. Hegele and his team of researchers will use to unravel the genetic basis of diseases such as diabetes, heart disease and breast can",Advanced health technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,Robarts Research Institute,London,"$2,000,000","$22,608,500",Robarts,Operating,Robert,Hegele
RE01-025,Intelligent Multiple Antenna Structures for Adaptive Wireless Systems,Global wireless telephone and computer communications are growing at an explosive rate. Current technology will be unable to meet the needs for wireless capacity over the next decade. A research consortium led by Dr. Amir K. Khandani is focusing developing a networked multiple antenna system where wireless devices can communicate and share the same spectrum. Ontario can expect great improvements in the power and bandwidth efficiency of wireless systems and so expand wireless capacity in the province.,Digital media and information and communications technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,University of Waterloo,Waterloo,"$4,348,000","$13,332,000",,Operating,Amir,Khandani
RE01-063,The Ontario BioCar Initiative,"Manufacturing and powering most motor vehicles requires using non-renewable resources. Researchers from universities of Guelph, Toronto, Waterloo and Windsor are working to develop “BioCar” applications – renewable, practical alternatives for a variety of synthetic auto parts currently used.  The researchers are working with hemp, wheat, corn, soybeans and canola to reduce production costs, increase functionality and develop fastening technologies for the auto parts sector.  The project has the potential to make Ontario a leader in developing renewable, cost-effective technologies for cars in the f",Bio-economy and clean technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,University of Guelph,Guelph,"$5,991,300","$17,973,900","Bio-economy, climate change",Operating,Mohini,Sain
RE01-065,SHARCNET: New Opportunities,"The Shared Hierarchical Academic Research Computing Network (SHARCNET) is a consortium of 11 post secondary institutions led by the University of Western Ontario. SHARCNET provides high-speed computational services for researchers in fields such as mathematics, physics, materials, and biocomputing. Currently 400 research groups involving 600 individuals are utilizing SHARCNET systems to advance their research.",Digital media and information and communications technologies,Research Excellence - Round 001,18-May-06,Ontario Research Fund - Research Excellence,The University of Western Ontario,London,"$10,946,690","$32,865,000",,Operating,Jeff,Chen
RE01-067,Centre for Brain and Mind Neuroimaging Facility,"Dr. Melvyn A. Goodale and his team at the Centre for Brain and Mind are working with functional magnetic resonance imaging (fMRI) to map brain activity and identify centers responsible for memory, recognizing objects and words and controlling movement. This knowledge will permit the development of new treatment methods to prevent or intervene in disorders such as dementia and Alzheimer’s disease, improving the quality of life for Ontarians suffering from such neurological disorder",Advanced health technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,The University of Western Ontario,London,"$2,278,500","$6,835,500",,Operating,Melvyn,Goodale
RE01-027,Thermo-mechanical Design of Nuclear Based Hydrogen Production,"Hydrogen has potential to be the “next generation fuel”, but one of the major limitations is the lack of a large-scale method to produce it. Dr. Naterer leads a multidisciplinary team that is designing a large-scale production method using the heat from nuclear reactors to break down water into hydrogen and oxygen. As a result, Ontario will be able to make important progress in developing hydrogen as the fuel of the fut",Bio-economy and clean technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,University of Ontario Institute of Technology,Oshawa,"$1,781,800","$5,518,831",nuclear energy,Operating,Greg,Naterer
RE01-030,Productivity Enhancement and Risk Management for Underground Construction and Mining,"Studies led by Dr. Peter Kaiser of Laurentian University will be conducted to develop innovative new methods for mining operations. This research will also examine how to improve the design and construction of underground excavations, the integrated planning, design and optimization of mine sites, and in water and waste management. In addition to providing for safer and more productive mining in Ontario, the research will inform the development of deep repositories for nuclear waste and safer, more effective underground excavating in urban areas.",Investigation of environmental situations,Research Excellence - Round 001,12-Feb-07,Ontario Research Fund - Research Excellence,Laurentian University,Sudbury,"$8,039,000","$24,117,000",rural,Operating,Peter,Kaiser
RE01-044,Ontario Proteomic Methods Centre (OPMC),"The Ontario Proteomics Methods Centre (OPMC), led by Mount Sinai Hospital’s Dr. Tony Pawson, will expand the field of proteomics by creating, testing and distributing new methods and equipment to study how proteins are built. Creating simple-to-use toolkits for the study of proteins will help find new keys to disease, and create new global market opportunities for Ontario’s high tech sec",Advanced health technologies,Research Excellence - Round 001,12-Feb-07,Ontario Research Fund - Research Excellence,Mount Sinai Hospital,Toronto,"$4,526,986","$13,580,958",,Operating,Anthony,Pawson
RE01-047,Use of Computational Biology to Advance Knowledge of Biological Systems at the Molecular and Cellular Levels,A team led by Dr. Shoshana Wodak will develop new computing methods for predicting and detecting changes in body chemistry. These new methods will provide a greater understanding of the relationship between body chemistry and changes to the health of cells.  The results of this research into biochemical “pathways” could lead to improved treatment of illnesses and improved drug and protein des,Advanced health technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,The Hospital for Sick Children,Toronto,"$853,231","$2,559,693",,Operating,Soshana,Wodak
RE01-049,Development of Third Generation Technologies for Functional Genomics and Proteomics,Dr. Jim Woodgett of the Toronto’s University Health Network (UHN) and industry partners will develop new micro-array techniques that will lead to new medical tests and therapies. The new technologies will be validated by identifying identify novel disease indicators and therapeutic targets in breast cancer. Ontario will maintain and improve its status as a world leader in micro-array,Advanced health technologies,Research Excellence - Round 001,12-Feb-07,Ontario Research Fund - Research Excellence,University Health Network,Toronto,"$6,250,000","$18,750,000",,Operating,Jim,Woodgett
RE01-054,Initiative for Automotive Manufacturing Innovation (IAMI),"The Initiative for Automotive Manufacturing Innovation (IAMI), a research consortium led by Dr. David S. Wilkinson, will develop new technologies for producing lighter-weight, more cost-competitive cars. The research will develop new generations of metal alloys, polymers and composites used for casting, forming, machining and joining lightweight vehicle components. Designed to meet the next generation of auto requirements, IAMI will help strengthen Ontario’s future as a leading auto and auto parts manufacture",Technological development for social purposes,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,McMaster University,Hamilton,"$15,569,922","$46,709,766",,Operating,David,Wilkinson
RE01-057,Treatment of Acute Stroke Using MAGUK  Inhibitors,"Neurosurgeon Michael Tymianski of Toronto Western Hospital is leading research into a new class of drugs to reduce damage to stroke and traumatic brain injury victims. Under the project, the research team will continue research, testing and eventually clinical trials and commercialization of the new drug. The results will have the potential to improve quality of life for an estimated 11,000 Ontarians who survive strokes every year, and to reduce the estimated $550 million Ontario spends annually for acute stroke care.",Advanced health technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,University Health Network,Toronto,"$650,000","$1,950,000",,Operating,Michael,Tymianski
RE01-061,From Disease Gene Mapping To Clinical Practice - A Provincial Program in Clinical Genomics,"Dr. Katherine Siminovitch and her team from the Samuel Lunenfeld Research Institute at Mount Sinai Hospital are developing new mathematical tools to speed the discovery of disease-causing genes. The project will lead to the development of more effective treatments for rheumatoid arthritis, hepatitis C, and Alzheimer’s disease. These tools also promise to create major commercialization opportunities in Ontario through the creation of new screening tests for a wide variety of diseases, drug targets and treatment",Advanced health technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,Mount Sinai Hospital,Toronto,"$4,821,000","$14,463,000",,Operating,Katherine,Siminovitch
RE01-077,Canadian Barcode of Life Network,"A researcher team led by Dr. Paul Hebert of the University of Guelph will develop an accurate and rapid DNA-based system for identifying species based on gene regions that are suitable for barcoding. These bar codes will be recorded on a database, making Canada the first nation to fully inventory its biodiversity. This project will provide an efficient and reliable means for Canada to monitor the health of its ecosystems.",Bio-economy and clean technologies,Research Excellence - Round 001,16-May-06,Ontario Research Fund - Research Excellence,University of Guelph,Guelph,"$1,000,000","$11,010,542",,Operating,Paul,Hebert
RE01-080,The contribution of genetic modulators of disease severity in cystic fibrosis to other diseases with similarities of clinical phenotype,Researchers from the Hospital for Sick Children will identify specific genetic factors that influence the severity of Cystic Fibrosis (CF) such as mutations in the CF gene and modifiers. The information will then be applied to other diseases with a high social and economic burden.,Advanced health technologies,Research Excellence - Round 001,6-May-06,Ontario Research Fund - Research Excellence,The Hospital for Sick Children,Toronto,"$750,000","$6,980,875",,Operating,Peter,Durie
RE01-081,Integrative Biology,"Researchers at the University of Toronto will use simple budding yeast as a model to achieve an integrated view of the cell and its functional sub-components. This will lead to an understanding of the properties of cell networks and how sets of genes work together to enable the normal functioning of cells and biological pathways. Ultimately, this will provide new insights into biological activity and disease mechanisms.",Advanced health technologies,Research Excellence - Round 001,16-May-06,Ontario Research Fund - Research Excellence,University of Toronto,Toronto,"$3,000,000","$29,824,804",,Operating,Brenda,Andrews
RE01-019,Understanding Complex Diseases Using Integrative Biology,"A team of life sciences researchers led by Dr. Jeffrey L. Wrana is improving the understanding of how different biological processes in cells work together. The team will use gene sequence and computing technologies to uncover how complex diseases affect “signaling pathways” and cause cell misregulation and abnormalities.  Ultimately, the research could lead to better treatments for diseases such as diabetes and can",Advanced health technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,Mount Sinai Hospital,Toronto,"$5,987,900","$17,955,342",,Operating,Jeffrey,Wrana
RE01-024,Managing Ontario's Energy Systems: Developing Risk and Probability Based Tools,"Ontario’s multi-billion dollar annual costs to build, operate and maintain electricity generating and distributing systems them are among the province’s biggest expenses. Dr. Mahesh D. Pandey of the University of Waterloo and Dr. Jin Jiang of the University of Western Ontario are creating new analysis and decision-making tools to assess risk to aging systems and to plan strategic investment in old and new infrastructure. These tools will ensure that Ontario gets the best possible value and maximum economic benefits from these ass",Bio-economy and clean technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,University of Waterloo,Waterloo,"$1,400,000","$4,260,000",,Operating,M.,Pandey
RE01-069,Innovative Research Using High Performance Computing,"The High Performance Computing Virtual Laboratory (HPCVL) is a consortium of five post-secondary institutions led by Queen's University and including Carleton, Ottawa, Royal Military College of Canada, and Ryerson.  HPCVL provides high-speed computational services for researchers in a wide variety of fields, from population health to nuclear physics.  Currently, HPCVL supports the research of more than 600 researchers, and expects an additional 1,000 researchers within five years.",Digital media and information and communications technologies,Research Excellence - Round 001,16-May-06,Ontario Research Fund - Research Excellence,Queen's University,Kingston,"$11,538,915","$34,651,400",,Operating,Ken,Edgecombe
RE01-070,Ontario Fuel Cell Research and Innovation Network: Realising The Full Benefits of Fuel Cell Power in Ontario,"Fuel cells have the potential to provide energy alternatives to oil, as they can produce electrical power from fuels such as hydrogen, natural gas, propane, and biogas with minimal greenhouse gas emissions. The Ontario Fuel Cell Research and Innovation Network (OFCRIN), led by Dr. Brant Peppley and composed of research scientists from eight universities and 12 industrial companies, is working to realize the full economic and environmental benefits of fuel cells. OFCRIN’s goal is discover new auto manufacturing methods for fuel cells, helping to make Ontario a leading global centre for fuel cell productio",Bio-economy and clean technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,Queen's University,Kingston,"$5,483,607","$16,462,933",climate change,Operating,Brant,Peppley
RE01-073,Genes to Fields: Corn Biotechnology Capacity for Ontario,"Corn is a $1 billion a year crop in Ontario, despite limited yields due to the province’s harsh weather.  Leading-edge research, led by Dr. Steven Rothstein, will seek new ways to increase Ontario’s corn yield by testing key genes associated with higher yields and greater environmental stress tolerances. The results of the research will strengthen Ontario’s agriculture sector and overall economy, helping to establish a global biotechnology sector in the pro",Bio-economy and clean technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,University of Guelph,Guelph,"$2,800,000","$9,120,000","Bio-economy, rural, climate change",Operating,Steven,Rothstein
RE01-074,Strengthening the Role of Genomics and Global Health,"This project will increase public awareness of the potential for genomics to address global health and environmental challenges. Globally, more than 800 million people suffer from hunger and malnutrition, and researchers at the University of Toronto want to ensure that developing countries share in the social and economic benefits of the genomics revolution. This work will mobilize a unique vision for Ontario’s role in the worl",Advanced health technologies,Research Excellence - Round 001,16-May-06,Ontario Research Fund - Research Excellence,University of Toronto,Toronto,"$950,000","$10,245,583",,Operating,Peter,Singer
RE01-075,Genome-Environment Interactions in Type 1 Diabetes,"This project will uncover the genetic control of Type 1 Diabetes (T1D) in human and rodent models of the disease. As well, it will examine how exposure to common intestinal bacteria affects immune system development and the probability of developing T1D in persons carrying genetic risk variants.",Advanced health technologies,Research Excellence - Round 001,16-May-06,Ontario Research Fund - Research Excellence,The Hospital for Sick Children,Toronto,"$1,000,000","$15,038,852",,Operating,Jayne,Danska
RE01-005,Power Electrical Converter for Hybrid Wind Power and Energy Storage System,"Leading University of Toronto researchers, led by Dr. Reza Iravani, will develop more reliable and stable ways of converting wind power energy into electricity to be transferred to Ontario’s power grid. New battery storage facilities will be used to store power from multiple wind farms, resolving many integration issues and harnessing greater wind energy. As a result, Ontario will be able to rely on safe, clean, reliable, and affordable power for the futur",Bio-economy and clean technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,University of Toronto,Toronto,"$3,490,000","$10,470,000",rural,Operating,Reza,Iravani
RE01-007,BioOptics - Transformative Technologies for Life Sciences,"Researchers at the University of Toronto are developing new instruments that will bring medical testing and treatment from the lab to the patient’s bedside. Dr. R. J. Dwayne Miller and his research team are employing light-based and laser technologies in the design and development of new instruments that treat diseases at the cellular and molecular levels. These instruments would replace more costly and labour intensive lab processes and lead to better, faster and lower-cost health care in Ontari",Advanced health technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,University of Toronto,Toronto,"$7,841,000","$23,523,000",,Operating,Dwayne,Miller
RE01-014,Microcellular and Nanocellular Plastics Superior Properties with Lowered Weights,"University of Toronto, Queen’s University and the University of Ontario Institute of Technology are partnering to improve the quality of foam plastics used in the manufacture of auto parts. Under the direction of Dr. Chul B. Park, the research team’s goal is to develop advanced plastics that have greater strength, longevity and heat and sound resistance. These new materials would bring significant benefits to the auto industry and give the Ontario a competitive edge in the global auto mar",Bio-economy and clean technologies,Research Excellence - Round 001,8-Sep-06,Ontario Research Fund - Research Excellence,University of Toronto,Toronto,"$2,112,000","$6,336,000","bio-economy, climate change",Operating,Chul,Park
RE02-018,Model-Integrated Software Service Engineering,"In Ontario and abroad, software services are growing fast—between 25 and 40% a year. Innovation in this sector is driven by a special blend of expertise that combines technical ability with business acumen and an understanding of social systems. This new discipline has been named SSME: Services Sciences, Management and Engineering. Building on Ontario’s software expertise, researchers at the University of Waterloo propose to develop a research program in SSME to create innovative, marketable technologies and products that allow business to respond rapidly to emerging needs. They will also develop an education initiative in SSME to train a new generation of software expe",Digital media and information and communications technologies,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,University of Waterloo,Waterloo,"$3,096,479","$9,289,438",,Operating,Krzysztof,Czarnecki
RE02-019,Green Auto Power Train,"With today’s cars and trucks dependent on fossil fuels, the pressure is on to develop more environmentally friendly, fuel-efficient, cost-effective vehicles. Research to be conducted at the University of Waterloo will explore the most promising forms of green vehicle technology currently available and enhance them to produce innovative new technologies. Researchers will also look at technologies for the medium to long-term predicted evolution of hybrid vehicles (ones that use two or more fuel sources) that include the use of clean diesel engines, battery-electric and fuel cells.  It’s research that will ultimately improve the environment, reduce dependence on non-renewable fossil fuels and give Ontario’s $100 billion a year auto industry a competitive edge in hybrid and fuel cell technol",Bio-economy and clean technologies,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,University of Waterloo,Waterloo,"$8,685,560","$26,056,686","bio-economy, climate change",Operating,Xianguo,Li
RE02-022,Center for Computer-Assisted Intervention and Innovation (CCAII),"The future of surgery lies in the fields of computer-assisted, image guided techniques and minimally invasive surgery (MIS)—the potential of which are only now starting to be realized. At a new Centre for Computer-Assisted Intervention and Innovation (CCAII), researchers at The Hospital for Sick Children will focus on developing application specific surgical robotic systems for pediatric surgery, in particular an image-guided MIS-capable robotic arm called a KidsArm. Working with industry partners, they will commercialize this and other new surgical robotic products and services. The techniques and technologies developed will improve and save young lives—and be useful and transferable to adult applicati",Advanced health technologies,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,The Hospital for Sick Children,Toronto,"$3,395,000","$10,185,000",,Operating,Peter,Kim
RE02-023,Nuclear Ontario: A University-based Research Network Supporting CANDU Nuclear Technology in Ontario,"Nuclear power, both here at home in Ontario and world-wide, is poised to play a major role in meeting the increasing demand for electricity, while cutting the emission of greenhouse gases. Ontario is a leader in nuclear energy, with CANDU reactors supplying 40% of the province’s energy needs. But there are challenges to overcome if we’re to continue to be a leader in this field, including the need to develop innovative solutions for the long-term management of spent fuel, and solutions to ensure the reliability of materials used in nuclear reactors. McMaster University will assemble a multidisciplinary nuclear engineering team that includes experts in reactor physics, nuclear reactor safety, materials science, corrosion science and chemstry and radiation safey to develop technologies that support both existing and advanced CANDU desi",Investigation of new sources,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,McMaster University,Hamilton,"$4,849,755","$14,577,823","nuclear energy, climate change",Operating,John,Luxat
RE02-032,Focused Ultrasound Devices for Noninvasive Surgery and Drug Delivery,"Focused ultrasound surgery is a unique, non-invasive image-guided therapy used for a wide range of medical conditions from soft tissue tumours to neurological disorders. Ultrasound energy can be delivered to precise regions of the body under active image guidance for many applications including drug delivery and gene activation. Because of its reduced invasiveness, it speeds treatment time and patient recovery—and reduces health care costs. Researchers at Sunnybrook Hospital propose to enhance existing applications and open new clinical opportunities for this technology by bringing together expertise from across the province. Strategic alliances will be formed between researchers and industry to commercialize promising devices and methods of deliver",Advanced health technologies,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,Sunnybrook Health Sciences Centre,Toronto,"$8,422,827","$25,268,480",,Operating,Kullervo,Hynynen
RE02-002,Making a Better Brain: An Ontario Neuroimaging Consortium,"Translating neuroimaging science into commerical applications is the goal of the new Ontario Neuroimaging Consortium at Robarts Research Institute. Specifically, researchers renowned for their expertise in neuroimaging (the use of various techniques to study the structure and function of the brain) will work with appliation scientists at the major neuroimaging companies to exploit the tremendous commercialization potential in their lab discoveries and apply them to critical brain health issues covering the whole lifespan from neonates to the elderly. From a commercialization perspective, neuroimaging devices and neuroinformatics software provide much faster returns on investment than regulatory testing and approval of pharmaceutical products.",Advanced health technologies,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,The University of Western Ontario,London,"$4,161,595","$12,484,785",,Operating,Ravi,Menon
RE02-006,MUSES_SECRET: Multimodal- SurvEillance System for SECurity-RElaTed Applications,"In the post 9/11 world, there’s an urgent need to be able to identify threatening human activities in order to prevent man-made disasters—and protect critical infrastructure, business continuity and community safety. But timely identification of human intent is challenging. Researchers at the University of Ottawa propose to develop and commercialize new technologies for the real-time detection and identification of potentially threatening behaviour in people acting individually or in groups. This “multimodal surveillance system” will develop new surveillance sensors and identify and evaluate body language patterns (gait, gestures, facial emotions, voice) for environments where large groups of people congregate. It’s technology that has tremendous commercialization ",Technological development for social purposes,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,University of Ottawa,Ottawa,"$2,015,000","$6,409,000",,Operating,Emil,Petriu
RE02-007,Integrated Sludge and Solid Waste Management Solutions,"Despite increased recycling, composting and incineration, sanitary landfill remains the main municipal solid waste (MSW) disposal method in Canada. With the amount of solid waste continually rising, it’s becoming increasingly important to deal more efficiently with it. Researcher at the University of Ottawa are convinced they can develop a waste management system that can reduce 65% of the waste for disposal, as opposed to current systems that reduce just 35%. The researchers will use three technologies—bioreactor landfill, anaerobic waste digestion and waste pyrolysis—to increase the rate of biodegradation of organic waste, produce methane gas for energy generation and create compost. The project will also divert waste from land",Bio-economy and clean technologies,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,University of Ottawa,Ottawa,"$1,000,000","$3,000,000","Bio-economy, climate change",Operating,Leta,Fernandes
RE02-009,WiSense: Wireless Heterogeneous Sensor networks in the e-Society,"Recent advances in miniaturization, low-power circuit design, wireless communication equipment and small-scale energy supplies have combined to make a new technological vision possible: wireless sensor networks (WSNs). These networks consist of a number of devices distributed throughout a given area that use specialized sensors to monitor physical or environmental conditions. Originally motivated by military applications, WSNs have great potential in many other fields including environment and habitat monitoring and traffic control. Researchers at the University of Ottawa propose to develop secure wireless sensor networks focused on telemedicine, home security and vehicle systems.",Digital media and information and communications technologies,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,University of Ottawa,Ottawa,"$3,074,600","$9,223,800",,Operating,Hussein,Mouftah
RE02-014,Astroparticle Physics Projects at SNOLAB,"Sudbury’s SNOLAB underground laboratory is the lowest radioactivity location ever created. In this unique ultra-clean environment two kilometers underground in CVRD-Inco’s Creighton mine it’s possible to make measurements that are impossible anywhere else in the world—and to observe rare, but fundamental, scientific phenoma that take place only a few times a year. One of the most challenging will be the observation of dark matter particles (left over relics from the Big-Bang) known to make up about 25% of the mass of the universe, but which scientists know virtually nothing about. Astroparticle physics research conducted at SNOLAB by Queen’s University will contribute to our understanding of the Universe, how it came to be and how it’s evolving—and allow Ontario scientists to be at the forefront of a rapidly growing and im",Development and creation of investigation spots,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,Queen's University,Kingston,"$17,974,390","$53,923,170",,Operating,Anthony,Noble
RE02-016,Greenhouse Gas Emission Free and Energy Efficient Power Technology for Information Systems,"Information processing centres (IPCs) consume large amounts of energy to run and maintain computer systems, servers and associated components. How much power is available, and how it can be reliably and continuously supplied, is of intense interest to IPC owners and their engineers, suppliers, investors and ultilities. Researchers at Queen’s University propose to significantly reduce energy consumption while increasing the energy generation capability of green technologies tailored to IPCs. Their goal is to increase increase efficiency by 15-20% within the next five years and develop new commercially viable IT-specific renewable energy power systems, including wind and solar-based systems. In the process they intend to reduce green house gas emissions by millions of tonnes a yea",Digital media and information and communications technologies,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,Queen's University,Kingston,"$5,539,084","$16,617,243",climate change,Operating,Praveen,Jain
RE02-017,Security and Mobility over the Global Information Transport Platform,"The term global information transport platform (GiTP) refers to multiple wired and wireless communication networks such as the Internet, cellular networks, wireless networks, vehicle networks and so on. A massive amount of information is distributed over the GiTP every day, including sensitive data like financial and business transactions. Ensuring security across multiple networks economically is essential—but very challenging. Researchers at the University of Waterloo, the University of Ottawa, Queen’s University and McMaster University will investigate and develop new technologies to guarantee security without compromising flexibility and usability. This new technology will be commercialized in partnership with indus",Digital media and information and communications technologies,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,University of Waterloo,Waterloo,"$2,910,500","$8,731,500",,Operating,Xuemin,Shen
RE02-038,Imaging for Cardiovascular Therapeutics (ICT),"Once a sudden killer, cardiovascular disease is being transformed into a chronic treatment challenge. At the same time, because of our greater understanding of atherosclerosis (hardening of the arteries), prevention is becoming a realistic goal. As a result, new therapies are emerging aimed at better diagnosis and treatment, but their full potential remains to be exploited. Convinced that Ontario is well-positioned to play a major role in developing, implementing and evaluating cardiovascular therapies, particularly imaging therapies, researchers at Sunnybrook Health Sciences Centre  propose to bring together Ontario’s three centres of excellence in cancer research (Ottawa, London and Toronto). Using their ties to industry, the researchers will develop better tools to diagnose, monitor and treat cancer using approaches, based on imaging technology (creating images of the body or parts of it",Advanced health technologies,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,Sunnybrook Health Sciences Centre,Toronto,"$14,490,484","$43,471,452",,Operating,Graham,Wright
RE02-039,Centre for the Control of Emerging Contaminants (CCEC),"Emerging contaminants (ECs)  is a term encompassing thousands of compounds released into our water system daily, including drug residues, personal care and cleaning products, industrial chemicals and even “new” compounds such as nanomaterials. Some of these pass virtually unchanged through wastewater treatments, which were never designed to remove them, and emerge in municipal drinking water sources. It’s a growing concern for Canadians, yet the risks are poorly understood.  Through the new Centre for the Control of Emerging Contaminants, an interdisciplinary group of respected water scientists, industry and government will focus on emerging contaminants in water, wastewater and residuals (biosolids). Specifically, the centre will develop and test new technologies for measuring, monitoring, controlling and removing ECs in current and next-generation wastewater treatment sy",Bio-economy and clean technologies,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,University of Waterloo,Waterloo,"$4,813,425","$14,709,372","water, wastewater",Operating,Wayne,Parker
RE02-040,Self Powered Sensor Networks,"A wireless sensor network consists of a number of distributed devices that use specialized sensors to monitor physical or environmental conditions, such as temperature, sound, pressure or motion, at different locations. Wireless sensor networks have a wide range of applications including monitoring, tracking and controlling (for example, traffic monitoring, object tracking and nuclear reactor controlling). Still in their early stages, there’s an opportunity for the commercialization of a family of products that take advantage of their potential—and that’s just what researchers at the University of Toronto intend to do. Working with Motorola, they will develop and commercialize the technologies necessary for the deployment of large-scale wireless sensor networks, including sensor hardware, software and energy capture, conservation and storage technol",Digital media and information and communications technologies,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,University of Toronto,Toronto,"$3,040,000","$9,060,000",climate change,Operating,Dimitrios,Hatzinakos
RE02-041,High Efficiency Silicon Photovoltaics,"Photovoltaics is the direct conversion of solar energy into electricity and it’s becoming an increasingly important technology in the production of sustainable energy. While silicon offers one of the highest photovoltaic energy conversion efficiencies, is stable, readily available and environmentally friendly, cost remains a stumbling block to its use. Researchers at the universities of Toronto and Waterloo, together with ARISE Technologies of Waterloo, will concentrate on developing high efficiency, cost effective silicon photovoltaic solar cells.  The researchers will develop and integrate a set of “thin film” technologies that will lead to a prototype, with the ultimate goal being the creation of a photovoltaic manufacturing base in On",Bio-economy and clean technologies,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,University of Toronto,Toronto,"$5,000,000","$15,000,000",,Operating,Nazir,Kherani
RE02-048,SciNet:  Enabling Future Science Today,"The SciNet consortium is a group headed by the University of Toronto and involving 10 affiliated research hospitals. Using world-class high performance computing systems, the scientists will concentrate on groundbreaking research across a wide range of disciplines, including aerospace, biomedical engineering, bioinformatics, climate modeling, cosmology, and genomics. SciNet will be available to researchers anywhere in the province via the Optical Advanced Network of Ontario (ORANO). Highly skilled technical analysts will work closely with researchers to develop and optimize the sophisticated algorithms (finite lists of well-defined instructions for accomplishing specific tasks) and performing techniques required to take full advantage of these high performance computer clusters with thousands of processors. Expert systems administrators will ensure that the various computer systems are operated to optimum capacity.",Development and creation of investigation spots,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,University of Toronto,Toronto,"$8,000,000","$24,000,000",,Operating,W. Richard,Peltier
RE02-049,New Technologies for Ginseng Agriculture and Product Development,"Despite its history of cultural use and medicinal claims for everything from baby gripe to impotence, ginseng continues to be controversial. In fact, there’s little agreement on the active chemical constituents of ginseng and little evidence to support traditional health claims in part because of variations in ginseng quality. That’s a problem for Ontario’s ginseng industry, which is a major world-wide producer of high quality ginseng. A new network centred at the University of Western Ontario will bring together researchers from a number of universities and colleges with Agriculture & Agri-Food Canada, the Ontario Ginseng Growers Association and the Natural Health Product Inudstry. Taking advantage of recently developed technology, the network will develop a unique Ontario ginseng variety with predictable quality, safey and medicinal properties and develop new value-added Ontario branded giseng pro",Bio-economy and clean technologies,Research Excellence - Round 002,21-Dec-07,Ontario Research Fund - Research Excellence,The University of Western Ontario,London,"$6,927,640","$20,781,522",rural,Operating,Edmund,Lui
